rating,review
1,"Attended a Tool concert here. If you wanna know if its worth it to come and attend a music concert at this venue, just one word of advice: Stay Away. The acoustics are terrible, if you are unfortunate enough to attend a rock concert here, for sure the bass will be boomy, there is a lot of reverberations across the hall and even on the floor it will be quite impossible to make out the different instruments from the sonic muddle. Only MSG has some sort of good acoustics for a multi purpose arena in NYC. But Barclays is surely a waste of time, money and ears.Also food is pathetic, grimy and just so meh. Could never understand how a concert venue can serve worse food than an Airport."
2,"Sec 211 Row 12 Seat 1. Very steep section so don’t bring your Grandparents.  Way too steep of a section for them to climb.  If you got heart issues or out of shape, don’t bother getting a seat in or around this section.  Wish I would have paid an extra $50 for a better seat.   The monitors are madd small too."
2,"This review is about Barclays Center as a music concert venue, rather than as a sports venue - which is obviously what it was originally designed and built for. Although I have attended only one concert there (Oct. 2019), I am very unlikely to ever go there again for such an event. The problem: Horrible acoustics and audio production. Some fabulous performances were ruined by over-amplification to the point of obvious distortion, and by reverberation that is probably characteristic of the physical space. Expensive concert tickets (and they are expensive) will seem like a waste when you hear a favorite performer's music turned into a hash by the audio system and environment here."
5,Great location with very good transport links. We have visited a few times now. Good food available. Watching a basketball game is always great fun with the family and adds a local experience to the vacation. Would definitely recommend
4,Went to watch the opening match of the Netts v the timberwolves in the NBA and saw a great match and with no pillars don’t think there’s a bad seat but selling cans of beer at $15 each and footlong hotdogs at $11 you see what I mean. We got a cab from midtown manhatton and took nearly an hour due to heavy traffic even at six in the evening (driver says that’s normal). Coming back at around 1030 a little easierBE WARNED we had to check in our I pad as not allowed to take into match !!!?
5,"NYC Mamí has been hosted for a few events at the Barclay’s Center including a Nets Podcast and game, The Ringling Bros. Circus and a Harlem Globetrotters game.  They have so many shows for the whole family, concerts, and other events at this venue and it is pretty awesome.  It’s located right near the MTA train (many lines) and the LIRR."
2,"Not sure why this gets such great reviews, it is a nice venue for concerts and games, and seats did seem close to the floor.  But don't go out of your way to visit it unless you have a show or game to watch.  Not worth just a selfie outside."
4,"I very much like to have a great venue for any sport event. I am not a big fan to go there for a concert as I do not like the acoustic and sound there. But, the place is great, food is pricey but good variety, the transportation is very good!!"
4,"What a great venue! Security wasn't as brutal as I expected. The show wasn't sold out, but we weren't sure how bad it would be since we're visitors from Toronto and we are used to heavy security at events this big.Seating is comfortable and even from side-stage we had great sightlines.Pop holders at each seat. Ushers are polite and helpful.Water fountains and lots of snack and drink options.Should have more merch areas. I hate the big pileup at the front."
5,First hockey game ever. It was a lot of fun. Bring ear protection if you are senstive to noise and make sure you eat prior to going. The food is silly expensive and the beer was $15!
3,"I have been here about 5 times now for a show... Overall, the place is nice - very easy to get around and find your spots!The sound system really is not that good compared to other venues in NYC. Overall, it's an okay venue, but there are definitely better places to see a concert."
5,"Visited for the Iron Maiden gig in July. The venue is very easy to reach by subway- the exit from the subway brings you up right outside the main doors. Even as a visitor from the UK  The stewarding was helpful and polite, the seats comfortable with great views and most of all on  a very hot and humid evening there was adequate air conditioning!! Only problem was the cost of beer $15 for a can of Corona - outrageous! BTW the gig was great too!!"
4,"I've been here a few times now where I think it warrants a review.I've come for pro basketball, pro hockey, and a couple of concerts.  I will say that every event has been positive.  The arena is kept clean and feels like a first class operation.When I came here for a basketball game, I had something called LOGE seating, which I had never experienced before.  It's like something in between regular seats and a suite.  You essentially sit in a box area, with a counter, and by virtue of sitting there, you have access to a buffet and drinks.  That was pretty darn sweet.For hockey, I will say that it feels weird seeing hockey being played in this arena with the Islanders as the home team.  They definitely belong out on Long Island, and this is coming from a non-fan.  However, they do the best they can, although it definitely has that temporary feel.For concerts, I don't think I'm going out on a limb here saying that Barclay's was not built with great sonic abilities.  The sound, while not bad, is no where near as good as it is at MSG or some other arenas I've been too.  I'm not sure if it has to do with the design of the building, but while I enjoy coming to concerts here and the experience is generally fantastic, it certainly is not ""music"" to my ears the whole time.The staff is always friendly, security line is pretty fast, and the prices aren't the best, but you won't need to take out a loan to get a hot dog and a soda."
